Code,Quantity,Cost,Serial,Customer
I000000954,1,44520,0MY1HTRHB00020,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100006,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100007,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100008,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100011,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100012,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100013,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100015,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100016,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100017,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100018,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100019,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRJ100020,PERF Restaurant Inc. - Burger King
I000000954,1,44520,0MY1HTRHA00003,PERF Restaurant Inc. - Burger King
I000000954,1,38000,0MY1HTJGC00017,"Globe Telecom, Inc."
I000000954,1,38000,0MY1HTJGC00021,"Globe Telecom, Inc."
I000000954,1,38000,0MY1HTRH600004D,"Globe Telecom, Inc."
I000000954,1,38000,0MY1HTRHB00008,"Globe Telecom, Inc."
I000000954,1,36000,03SDHNFJ300002,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300009,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300015,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300016,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300017,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300018,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300019,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300020,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300021,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300022,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300023,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300024,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300025,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300026,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300027,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300028,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300029,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300030,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300031,"SM Lifestyle Entertainment, Inc."
I000000954,1,36000,03SDHNFJ300032,"SM Lifestyle Entertainment, Inc."
